,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
274,PEGAS G8BM022023,Feb-2023,58.0,60.2,58.0,58.4,59.414,204.0,25570,2023-01-25T00:00:00.0000000
275,PEGAS G8BM022023,Feb-2023,61.4,61.85,56.0,56.0,57.316,231.0,25971,2023-01-26T00:00:00.0000000
276,PEGAS G8BM022023,Feb-2023,56.0,58.0,55.25,57.5,57.77,228.0,26600,2023-01-27T00:00:00.0000000
277,PEGAS G8BM022023,Feb-2023,60.4,60.4,56.75,57.25,57.3,346.0,27088,2023-01-30T00:00:00.0000000
278,PEGAS G8BM032023,Mar-2023,59.8,60.1,59.5,60.1,59.625,28.0,21177,2023-01-31T00:00:00.0000000
279,PEGAS G8BM032023,Mar-2023,58.55,61.5,58.55,61.5,61.43,457.0,21509,2023-02-01T00:00:00.0000000
280,PEGAS G8BM032023,Mar-2023,61.4,61.4,57.5,58.5,58.508,357.0,21808,2023-02-02T00:00:00.0000000
281,PEGAS G8BM032023,Mar-2023,59.9,61.0,59.5,59.5,59.338,339.0,22219,2023-02-03T00:00:00.0000000
282,PEGAS G8BM032023,Mar-2023,58.0,59.5,58.0,59.5,59.881,509.0,22908,2023-02-06T00:00:00.0000000
283,PEGAS G8BM032023,Mar-2023,59.5,59.7,56.8,56.8,57.199,522.0,23762,2023-02-07T00:00:00.0000000
284,PEGAS G8BM032023,Mar-2023,55.735,56.35,55.0,55.25,55.337,137.0,23873,2023-02-08T00:00:00.0000000
285,PEGAS G8BM032023,Mar-2023,56.5,56.6,54.45,54.45,54.304,246.0,24083,2023-02-09T00:00:00.0000000
286,PEGAS G8BM032023,Mar-2023,55.4,55.4,54.5,55.4,55.391,39.0,24119,2023-02-10T00:00:00.0000000
287,PEGAS G8BM032023,Mar-2023,53.75,54.1,53.5,53.5,53.725,39.0,24340,2023-02-13T00:00:00.0000000
288,PEGAS G8BM032023,Mar-2023,54.275,54.8,54.2,54.2,54.1,152.0,24492,2023-02-14T00:00:00.0000000
289,PEGAS G8BM032023,Mar-2023,56.0,56.5,56.0,56.5,56.366,158.0,24650,2023-02-15T00:00:00.0000000
290,PEGAS G8BM032023,Mar-2023,54.5,54.5,54.0,54.0,53.73,4.0,24854,2023-02-16T00:00:00.0000000
291,PEGAS G8BM032023,Mar-2023,50.93,51.0,50.9,50.9,50.775,33.0,25327,2023-02-17T00:00:00.0000000
292,PEGAS G8BM032023,Mar-2023,53.3,53.3,51.3,51.3,51.574,14.0,25471,2023-02-20T00:00:00.0000000
293,PEGAS G8BM032023,Mar-2023,50.1,50.5,49.665,50.5,50.423,236.0,25642,2023-02-21T00:00:00.0000000
294,PEGAS G8BM032023,Mar-2023,51.1,51.5,51.1,51.5,51.944,102.0,25742,2023-02-22T00:00:00.0000000
295,PEGAS G8BM032023,Mar-2023,51.45,51.7,51.45,51.7,52.102,215.0,26215,2023-02-23T00:00:00.0000000
296,PEGAS G8BM032023,Mar-2023,53.7,53.7,52.0,52.0,51.95,49.0,26362,2023-02-24T00:00:00.0000000
297,PEGAS G8BM032023,Mar-2023,50.7,51.025,49.8,49.8,47.858,124.0,26476,2023-02-27T00:00:00.0000000
298,PEGAS G8BM042023,Apr-2023,50.3,50.3,50.3,50.3,48.363,14.0,359,2023-02-28T00:00:00.0000000
299,PEGAS G8BM042023,Apr-2023,49.15,49.3,48.45,48.45,48.545,162.0,519,2023-03-01T00:00:00.0000000
300,PEGAS G8BM042023,Apr-2023,49.2,49.2,48.3,48.3,48.244,73.0,592,2023-03-02T00:00:00.0000000
301,PEGAS G8BM042023,Apr-2023,47.2,47.3,46.45,46.45,46.4,296.0,1178,2023-03-03T00:00:00.0000000
302,PEGAS G8BM042023,Apr-2023,44.2,44.55,43.55,43.55,43.513,86.0,1306,2023-03-06T00:00:00.0000000
303,PEGAS G8BM042023,Apr-2023,43.5,44.4,43.2,44.4,44.42,201.0,1607,2023-03-07T00:00:00.0000000
304,PEGAS G8BM042023,Apr-2023,45.6,45.8,43.5,43.5,43.431,142.0,1968,2023-03-08T00:00:00.0000000
305,PEGAS G8BM042023,Apr-2023,41.8,44.35,41.8,44.35,44.2,125.0,2092,2023-03-09T00:00:00.0000000
306,PEGAS G8BM042023,Apr-2023,46.7,48.0,46.7,47.25,53.402,132.0,2727,2023-03-10T00:00:00.0000000
307,PEGAS G8BM042023,Apr-2023,50.2,52.9,49.2,49.2,50.361,32.0,2706,2023-03-13T00:00:00.0000000
